location,title,date,compensation_company,url
Union,Business Partner Wanted – Launch Mobile Car Wash & Detailing Company (,7/27,40% of company,https://www.craigslist.org/view/d/hillside-business-partner-wanted-launch/afRjKsTFHy54nRAygfUsoK
Metro Boston (and more),Local Social Media Marketing Startup - Partner Wanted,8/11,Commission-based (percent of sales) ⸱ Local Business Media Growth,https://www.craigslist.org/view/d/worcester-local-social-media-marketing/4guNDiJTmDPEG4cEr7AQ6Q
